! Mlynczak, 1993, GRL, p. 1439, "Rate of absorption of Solar Radiation in the O2(X3Sigma->b1Sigma) transition
! TABLE 1. Values of G(z) as a function of altitude (km), pressure (log10p, mbar), and solar zenith angle (degrees).
!
! This table was scanned to /home/simonc/data_direct/Mlynczak-1993.dat and interpolated to the SOCRATES pressure grid
! The "log-p" alt coordinate below is = 7 * ln(p0/p)
!
! log-p alt
!  (km)     SZA=10.  SZA=15.  SZA=20.  SZA=25.  SZA=30.  SZA=35.  SZA=40.  SZA=45.  SZA=50.  SZA=55.  SZA=60.  SZA=65.  SZA=70.  SZA=75.  SZA=80.  SZA=85.  SZA=90. 

  93.0000   0.9964   0.9964   0.9963   0.9962   0.9961   0.9960   0.9960   0.9959   0.9957   0.9955   0.9952   0.9946   0.9940   0.9930   0.9908   0.9852   0.9479
  92.0000   0.9961   0.9961   0.9961   0.9959   0.9959   0.9958   0.9957   0.9956   0.9953   0.9951   0.9948   0.9941   0.9933   0.9921   0.9895   0.9827   0.9386
  91.0000   0.9959   0.9959   0.9958   0.9958   0.9956   0.9956   0.9954   0.9952   0.9948   0.9946   0.9942   0.9936   0.9927   0.9911   0.9881   0.9799   0.9281
  90.0000   0.9956   0.9956   0.9956   0.9956   0.9954   0.9954   0.9951   0.9949   0.9943   0.9941   0.9937   0.9931   0.9920   0.9900   0.9867   0.9770   0.9173
  89.0000   0.9951   0.9951   0.9950   0.9950   0.9948   0.9948   0.9945   0.9943   0.9939   0.9934   0.9929   0.9921   0.9908   0.9886   0.9844   0.9731   0.9028
  88.0000   0.9946   0.9946   0.9945   0.9945   0.9943   0.9942   0.9939   0.9937   0.9935   0.9927   0.9922   0.9911   0.9896   0.9871   0.9821   0.9692   0.8884
  87.0000   0.9941   0.9941   0.9940   0.9940   0.9938   0.9935   0.9933   0.9931   0.9928   0.9919   0.9913   0.9900   0.9883   0.9853   0.9796   0.9646   0.8717
  86.0000   0.9936   0.9936   0.9935   0.9935   0.9933   0.9929   0.9927   0.9923   0.9918   0.9911   0.9902   0.9889   0.9868   0.9832   0.9767   0.9593   0.8535
  85.0000   0.9931   0.9930   0.9930   0.9930   0.9927   0.9923   0.9920   0.9915   0.9909   0.9902   0.9890   0.9877   0.9853   0.9811   0.9738   0.9539   0.8348
  84.0000   0.9927   0.9925   0.9925   0.9923   0.9920   0.9914   0.9911   0.9905   0.9897   0.9889   0.9877   0.9863   0.9832   0.9785   0.9700   0.9468   0.8118
