! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:34:24 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
     o3-lt12 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    1.51e+03       0.000  1.0132e+03
          1.    1.49e+03       1.253  8.7836e+02
          2.    1.47e+03       2.474  7.6143e+02
          3.    1.45e+03       3.665  6.6007e+02
          4.    1.44e+03       4.825  5.7220e+02
          5.    1.42e+03       5.956  4.9603e+02
          6.    1.41e+03       7.061  4.3000e+02
          7.    1.39e+03       8.137  3.7275e+02
          8.    1.38e+03       9.185  3.2313e+02
          9.    1.37e+03      10.204  2.8012e+02
         10.    1.36e+03      11.192  2.4283e+02
         11.    1.35e+03      12.149  2.1050e+02
         12.    1.33e+03      13.077  1.8248e+02
         13.    1.32e+03      13.977  1.5819e+02
         14.    1.32e+03      14.853  1.3713e+02
         15.    1.31e+03      15.712  1.1887e+02
         16.    1.31e+03      16.563  1.0305e+02
         17.    1.32e+03      17.415  8.9331e+01
         18.    1.32e+03      18.271  7.7439e+01
         19.    1.32e+03      19.132  6.7130e+01
         20.    1.32e+03      20.002  5.8194e+01
         21.    1.32e+03      20.882  5.0447e+01
         22.    1.32e+03      21.773  4.3731e+01
         23.    1.32e+03      22.674  3.7910e+01
         24.    1.31e+03      23.585  3.2863e+01
         25.    1.30e+03      24.507  2.8488e+01
         26.    1.28e+03      25.439  2.4696e+01
         27.    1.25e+03      26.384  2.1408e+01
         28.    1.20e+03      27.340  1.8558e+01
         29.    1.14e+03      28.307  1.6088e+01
         30.    1.07e+03      29.286  1.3946e+01
         31.    9.78e+02      30.275  1.2090e+01
         32.    8.80e+02      31.274  1.0480e+01
         33.    7.84e+02      32.283  9.0851e+00
         34.    6.94e+02      33.300  7.8756e+00
         35.    6.10e+02      34.328  6.8272e+00
         36.    5.31e+02      35.366  5.9184e+00
         37.    4.56e+02      36.414  5.1305e+00
         38.    3.88e+02      37.474  4.4475e+00
         39.    3.28e+02      38.544  3.8555e+00
         40.    2.78e+02      39.628  3.3422e+00
         41.    2.39e+02      40.725  2.8973e+00
         42.    2.09e+02      41.831  2.5116e+00
         43.    1.86e+02      42.946  2.1772e+00
         44.    1.68e+02      44.068  1.8874e+00
         45.    1.55e+02      45.194  1.6362e+00
