! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:44:30 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
    ho2-lt24 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    2.37e+02       0.000  1.0132e+03
          1.    4.89e+02       1.253  8.7836e+02
          2.    6.87e+02       2.474  7.6143e+02
          3.    8.12e+02       3.665  6.6007e+02
          4.    9.24e+02       4.825  5.7220e+02
          5.    9.86e+02       5.956  4.9603e+02
          6.    9.22e+02       7.061  4.3000e+02
          7.    8.54e+02       8.137  3.7275e+02
          8.    8.75e+02       9.185  3.2313e+02
          9.    9.48e+02      10.204  2.8012e+02
         10.    9.45e+02      11.192  2.4283e+02
         11.    8.45e+02      12.149  2.1050e+02
         12.    7.05e+02      13.077  1.8248e+02
         13.    5.73e+02      13.977  1.5819e+02
         14.    4.76e+02      14.853  1.3713e+02
         15.    4.43e+02      15.712  1.1887e+02
         16.    5.62e+02      16.563  1.0305e+02
         17.    6.77e+02      17.415  8.9331e+01
         18.    7.23e+02      18.271  7.7439e+01
         19.    6.82e+02      19.132  6.7130e+01
         20.    5.93e+02      20.002  5.8194e+01
         21.    4.95e+02      20.882  5.0447e+01
         22.    4.06e+02      21.773  4.3731e+01
         23.    3.35e+02      22.674  3.7910e+01
         24.    2.81e+02      23.585  3.2863e+01
         25.    2.41e+02      24.507  2.8488e+01
         26.    2.13e+02      25.439  2.4696e+01
         27.    1.94e+02      26.384  2.1408e+01
         28.    1.84e+02      27.340  1.8558e+01
         29.    1.84e+02      28.307  1.6088e+01
         30.    1.95e+02      29.286  1.3946e+01
         31.    2.19e+02      30.275  1.2090e+01
         32.    2.56e+02      31.274  1.0480e+01
         33.    3.05e+02      32.283  9.0851e+00
         34.    3.64e+02      33.300  7.8756e+00
         35.    4.37e+02      34.328  6.8272e+00
         36.    5.25e+02      35.366  5.9184e+00
