! ASCII file written by the IDL/NetCDF Viewer for NCAR/ACD 2D model NetCDF output files
! This data was written the Thu Nov 30 14:39:07 2000 from NetCDF file /unicos_tmp/simonc/netcdf/v6s07_test.heat.nc
     oh-lt24 (s)  <- name (units) of the field below
             121  <- number of pressure levels (lines) for the field below
!  log-p alt    latitude!    geo alt    pressure
!       (km)          0.!       (km)        (mb)
!-----------|-----------!-----------|-----------
          0.    7.39e-01       0.000  1.0132e+03
          1.    9.99e-01       1.253  8.7836e+02
          2.    1.23e+00       2.474  7.6143e+02
          3.    1.52e+00       3.665  6.6007e+02
          4.    1.99e+00       4.825  5.7220e+02
          5.    2.54e+00       5.956  4.9603e+02
          6.    2.97e+00       7.061  4.3000e+02
          7.    3.53e+00       8.137  3.7275e+02
          8.    4.31e+00       9.185  3.2313e+02
          9.    5.33e+00      10.204  2.8012e+02
         10.    6.66e+00      11.192  2.4283e+02
         11.    8.24e+00      12.149  2.1050e+02
         12.    9.69e+00      13.077  1.8248e+02
         13.    1.07e+01      13.977  1.5819e+02
         14.    1.12e+01      14.853  1.3713e+02
         15.    1.19e+01      15.712  1.1887e+02
         16.    1.37e+01      16.563  1.0305e+02
         17.    1.57e+01      17.415  8.9331e+01
         18.    1.71e+01      18.271  7.7439e+01
         19.    1.73e+01      19.132  6.7130e+01
         20.    1.62e+01      20.002  5.8194e+01
         21.    1.44e+01      20.882  5.0447e+01
         22.    1.23e+01      21.773  4.3731e+01
         23.    1.05e+01      22.674  3.7910e+01
         24.    8.92e+00      23.585  3.2863e+01
         25.    7.72e+00      24.507  2.8488e+01
         26.    6.83e+00      25.439  2.4696e+01
         27.    6.22e+00      26.384  2.1408e+01
         28.    5.88e+00      27.340  1.8558e+01
         29.    5.85e+00      28.307  1.6088e+01
         30.    6.17e+00      29.286  1.3946e+01
         31.    6.91e+00      30.275  1.2090e+01
         32.    8.05e+00      31.274  1.0480e+01
         33.    9.55e+00      32.283  9.0851e+00
         34.    1.14e+01      33.300  7.8756e+00
         35.    1.37e+01      34.328  6.8272e+00
         36.    1.65e+01      35.366  5.9184e+00
         37.    2.02e+01      36.414  5.1305e+00
         38.    2.46e+01      37.474  4.4475e+00
         39.    3.01e+01      38.544  3.8555e+00
         40.    3.66e+01      39.628  3.3422e+00
         41.    4.47e+01      40.725  2.8973e+00
         42.    5.50e+01      41.831  2.5116e+00
         43.    6.80e+01      42.946  2.1772e+00
         44.    8.48e+01      44.068  1.8874e+00
         45.    1.06e+02      45.194  1.6362e+00
         46.    1.34e+02      46.324  1.4183e+00
         47.    1.69e+02      47.455  1.2295e+00
         48.    2.14e+02      48.585  1.0659e+00
         49.    2.70e+02      49.712  9.2396e-01
         50.    3.40e+02      50.836  8.0096e-01
         51.    4.28e+02      51.953  6.9434e-01
         52.    5.38e+02      53.063  6.0191e-01
         53.    6.74e+02      54.165  5.2178e-01
         54.    8.39e+02      55.256  4.5232e-01
         55.    1.03e+03      56.336  3.9211e-01
         56.    1.26e+03      57.403  3.3991e-01
         57.    1.51e+03      58.458  2.9466e-01
         58.    1.77e+03      59.499  2.5543e-01
         59.    2.04e+03      60.526  2.2143e-01
         60.    2.29e+03      61.539  1.9195e-01
         61.    2.53e+03      62.538  1.6640e-01
         62.    2.73e+03      63.523  1.4425e-01
         63.    2.89e+03      64.494  1.2504e-01
         64.    2.99e+03      65.452  1.0840e-01
         65.    3.03e+03      66.396  9.3968e-02
         66.    3.02e+03      67.328  8.1459e-02
         67.    2.96e+03      68.248  7.0615e-02
         68.    2.88e+03      69.156  6.1215e-02
         69.    2.80e+03      70.055  5.3066e-02
         70.    2.71e+03      70.943  4.6001e-02
         71.    2.64e+03      71.823  3.9878e-02
         72.    2.56e+03      72.694  3.4569e-02
         73.    2.48e+03      73.558  2.9967e-02
         74.    2.41e+03      74.415  2.5978e-02
         75.    2.34e+03      75.265  2.2520e-02
         76.    2.12e+03      76.109  1.9522e-02
         77.    1.49e+03      76.948  1.6923e-02
         78.    7.68e+02      77.782  1.4670e-02
