! Solar flux at min (SEP 1986) and max (NOV 1989) of cycle 22
! Source: Lean, J., et al., 1997, JGR vol.102 p 29939 (SOLSTICE analysis V0009)
! units :  photons cm-2 s-1 on wl interval : NOT per nm !
             108   ...is the number of wavelength intervals (data lines)
!  wavelength interval | Min solflux |  Max solflux
!  no  from(nm) to(nm) | (phot/cm2/s)| (phot/cm2/s)
!--------------------------------------------------------------
 105   357.50   362.50     8.4152e+14     8.4454e+14
 106   362.50   367.50     1.0374e+15     1.0391e+15
 107   367.50   372.50     1.1088e+15     1.1098e+15
 108   372.50   377.50     9.9628e+14     9.9900e+14
 109   377.50   382.50     1.1370e+15     1.1399e+15
 110   382.50   387.50     8.9334e+14     9.0005e+14
 111   387.50   392.50     1.1693e+15     1.1732e+15
 112   392.50   397.50     9.3670e+14     9.4126e+14
 113   397.50   402.50     1.6533e+15     1.6541e+15
 114   402.50   407.50     1.7285e+15     1.7279e+15
 115   407.50   412.50     1.7641e+15     1.7641e+15
 116   412.50   417.50     1.9160e+15     1.9177e+15
